fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
37.7697,15.3743,2.7721,0.3122,0.1534,-0.4536,28.367,-5.9695,73.1118,243.5656
31.5291,8.5731,2.8456,0.4497,0.1899,-15.0502,-1.6939,-11.4253,42.386,247.2096
46.8561,19.7924,3.1976,0.2582,0.1393,42.8313,16.4572,-5.7254,1.1127,179.84
94.2137,34.1015,3.8824,0.1276,0.0775,-64.6807,73.5551,16.406,1.2801,265.757
40.2341,25.8946,3.0362,0.2042,0.1026,56.4132,-20.9438,-16.2614,6.2066,223.564
12.3663,12.1225,2.1189,0.6768,0.346,16.7512,-10.1725,-8.829,14.3159,199.413
61.9038,26.3782,3.3678,0.1946,0.1018,-86.0779,55.2088,16.3735,4.76,245.205
33.3237,12.3317,2.5145,0.3639,0.1881,-3.1009,-17.7864,-3.2959,42.108,85.2292
28.6404,19.121,2.781,0.3543,0.2078,25.9066,18.6593,4.2748,2.5401,145.927
93.0081,34.6534,3.9308,0.1391,0.0734,48.1785,75.7582,-21.2368,1.3818,333.718
50.2236,11.1068,2.8901,0.2627,0.1346,12.8571,20.3994,-2.9316,11.44,92.0361
41.5515,14.4772,2.6342,0.3891,0.2067,9.4956,28.0246,9.9909,14.4039,214.3352
29.8389,14.5906,2.6503,0.4116,0.2584,-17.4478,10.6311,9.7966,3.7372,238.473
81.4626,30.0263,3.2404,0.4179,0.2394,32.9406,-37.2187,-17.1882,3.1267,373.486
26.7897,13.7595,2.5521,0.4236,0.2174,29.6339,20.456,-2.9292,0.812,237.134
51.6337,14.0939,2.5302,0.3304,0.1844,-44.4812,-32.9212,5.9161,13.666,173.496
30.2742,21.9387,2.7042,0.3419,0.1966,-8.0941,15.7571,11.8928,83.0842,68.9916
16.8791,10.4149,2.4624,0.6793,0.4086,18.1153,12.3424,5.6396,22.4722,213.275
45.4425,26.1756,2.8058,0.2142,0.1134,-19.4685,28.2442,-17.4982,42.1325,140.456
87.7942,30.1055,3.8598,0.1424,0.0788,-66.7317,74.559,14.8124,1.778,262.857
52.5995,9.5646,2.4479,0.4742,0.2442,-34.5919,-33.8603,8.3775,77.7361,240.602
119.2612,88.7506,4.2007,0.0869,0.0393,-145.2984,89.044,74.6771,25.7092,336.6687
20.532,18.6601,2.5587,0.4669,0.2555,29.2223,-12.2598,-7.5688,37.6012,191.237
45.4329,10.4937,2.49,0.466,0.2605,56.2918,25.3086,5.1673,72.747,189.825
44.9124,18.8047,2.8642,0.2707,0.1401,-33.0305,-34.0672,13.3701,60.9026,53.0291
92.0485,7.3373,2.3962,0.5984,0.3313,94.5318,48.8574,-2.9613,58.0538,183.302
28.8738,8.0803,2.1584,0.5486,0.3021,16.6444,16.9719,-3.6688,48.027,169.681
133.339,30.299,2.8322,0.4281,0.288,-108.6885,-127.9227,19.5582,16.2807,422.5991
18.8375,11.9932,2.472,0.5565,0.3558,-0.4388,-8.7199,-9.8301,32.256,242.418
17.9166,6.8201,2.2425,0.6611,0.4277,17.2828,19.6718,2.7707,23.5436,211.0129
25.3165,5.7908,2.7074,0.4807,0.3254,40.7202,16.4772,8.3612,41.1638,103.1442
26.5114,9.7752,2.2636,0.4578,0.2425,15.681,-17.8677,-4.9654,50.4142,121.638
44.1482,16.1695,2.3729,0.3814,0.197,29.1013,11.0392,-9.6475,26.329,193.915
53.9679,25.405,3.0243,0.2175,0.1121,16.7438,50.671,-11.1705,8.986,261.066
38.8754,18.5232,3.1161,0.2495,0.1336,-15.0264,9.8154,-5.8631,3.361,166.899
43.4047,8.0794,2.9491,0.3627,0.213,4.074,24.416,-12.4289,12.8929,111.09
66.9411,22.6725,3.0594,0.266,0.133,51.7194,76.8033,-9.8085,5.633,154.979
21.1474,16.8163,2.5599,0.4435,0.2658,29.268,-11.5756,14.5016,35.595,122.94
26.3861,15.1486,2.7889,0.4163,0.2447,8.0143,21.5488,-9.4032,52.18,211.481
23.2694,3.1184,2.0675,0.6687,0.3544,-23.2375,-18.5317,-9.4784,63.4187,225.0753
18.7689,7.4119,2.1508,0.7845,0.47,3.0514,-8.1489,2.7096,39.1057,144.69
55.5272,12.6516,2.433,0.4354,0.2528,42.1591,36.7524,-7.959,13.331,166.405
26.0756,16.183,2.6758,0.4494,0.2943,2.6627,12.5653,15.0875,15.0673,106.2
64.4978,19.6105,3.1316,0.1721,0.0919,1.5001,42.9179,-12.3246,6.772,227.296
43.3106,17.2934,2.9511,0.376,0.2188,15.6075,38.7788,10.4531,12.2655,250.705
28.7643,7.6722,2.2175,0.5515,0.3061,10.3282,-7.2343,3.0541,6.445,206.629
88.0102,44.629,3.9169,0.1224,0.0646,73.8944,81.9724,10.8999,8.4648,290.816
78.9104,21.9894,3.2781,0.2546,0.1452,-51.3045,57.268,6.5612,2.556,290.14
217.6719,44.2192,3.2117,0.1779,0.1422,-241.7583,-90.8113,-18.6798,59.4832,255.5413
21.5333,5.5628,2.6576,0.8362,0.5579,-13.6357,11.9547,-10.1824,3.3983,183.9921
56.6471,23.4727,3.0654,0.3234,0.1708,-56.3223,40.8411,19.1479,8.8062,285.064
35.6271,10.0782,2.5849,0.4551,0.2666,1.9398,-21.4404,4.58,18.357,179.784
31.6552,10.7467,2.3883,0.499,0.2638,34.813,19.444,-8.6544,63.789,269.665
87.8315,33.0873,3.5638,0.1119,0.0572,-95.0042,77.1037,-21.44,4.714,236.039
120.99,37.3676,3.6852,0.1414,0.0829,-36.0091,43.6669,20.1997,7.854,323.983
38.7094,23.9015,3.0149,0.2599,0.1464,-5.9509,38.9864,-15.8542,4.65,159.414
36.8834,12.123,2.8149,0.4165,0.2351,30.7446,30.1455,10.0321,1.1687,189.478
46.7355,10.3728,2.7727,0.3764,0.2371,49.0389,22.3906,5.2039,76.6779,119.501
55.4239,16.6488,2.9166,0.3467,0.2482,-45.0366,36.6338,-9.1619,7.785,297.6813
108.87,64.7326,4.4401,0.0574,0.0312,-27.8155,81.7727,15.8739,3.934,302.076
42.9778,28.8084,2.9472,0.4123,0.3014,-46.1453,18.2927,-22.9963,1.7188,295.7384
49.165,42.3026,3.0465,0.2606,0.1451,-31.276,25.3868,23.1442,4.8828,300.035
43.6668,15.809,2.8455,0.4258,0.2425,1.4455,31.3905,5.8447,21.6793,162.8298
22.3702,6.5662,2.1255,0.7416,0.3783,-25.6044,-6.7126,6.7847,31.77,276.06
21.1916,16.5081,2.3483,0.3812,0.1996,-23.1196,-10.7226,2.8633,20.613,286.074
45.7796,19.1139,2.9437,0.2447,0.1246,-88.1344,37.3997,10.891,18.042,256.435
54.2256,32.5475,2.8447,0.4035,0.2944,3.2803,39.128,19.4208,0.2295,161.101
62.4718,32.7889,3.3569,0.1279,0.0653,28.6884,29.4005,17.1013,6.668,255.422
115.505,17.0683,2.6893,0.3988,0.228,115.356,65.5559,10.2487,80.7349,188.788
40.077,18.7191,2.8228,0.2617,0.1617,-16.0358,-31.7223,11.0383,6.9394,189.586
23.0916,8.971,2.4108,0.6175,0.4291,9.7476,9.249,-6.5998,73.696,149.158
16.871,11.0212,2.5198,0.6284,0.3157,21.3773,9.6349,6.0657,5.8091,203.685
23.9965,16.2728,2.8609,0.4077,0.2252,9.4302,16.469,-9.2041,25.4216,189.416
53.2843,13.1071,2.9023,0.3381,0.2009,-5.4636,33.515,-7.0071,88.8151,38.8028
21.1077,7.0966,2.0774,0.6862,0.3473,-25.1666,-7.9365,6.2317,2.867,130.872
93.6809,73.2173,4.2222,0.0694,0.0355,63.8293,90.6286,65.4353,4.961,139.803
50.7355,13.8768,2.4886,0.3279,0.1867,22.9626,32.073,-10.6266,25.98,165.046
37.593,16.7365,2.9605,0.3133,0.1714,30.7254,25.8026,11.4176,1.2879,138.887
30.2588,13.9882,2.601,0.3559,0.1892,21.9051,21.0869,9.6346,8.936,126.812
32.524,15.7051,2.7226,0.3617,0.1866,25.963,16.3502,14.3522,17.709,196.225
26.2893,19.8336,2.8238,0.3631,0.1928,-6.9989,-13.3547,-4.9754,16.7926,114.063
72.1282,19.0392,2.6955,0.3226,0.1784,52.5639,38.63,-7.7182,0.885,234.302
12.8598,11.3399,2.1287,0.7212,0.4275,14.855,-8.4364,-6.8675,41.4708,169.016
31.2328,14.1452,2.6107,0.5454,0.3454,5.3276,12.9491,18.4301,44.5937,173.4713
20.0751,12.6029,2.4556,0.5254,0.275,-24.4841,-13.9508,-9.2943,18.131,105.021
65.1686,12.2282,2.6232,0.3381,0.1702,60.4863,70.5864,8.8835,5.9072,197.801
71.0871,24.7024,2.9795,0.2432,0.1242,-47.6616,66.8521,25.1188,24.0961,285.288
25.5536,17.4304,2.3531,0.4435,0.2417,-10.6269,-18.4292,15.2663,79.873,75.5272
19.9205,10.3429,2.5198,0.6163,0.3761,-5.6802,16.1492,8.8758,27.5493,242.753
23.686,16.7064,2.5051,0.4594,0.2422,12.9614,19.839,-16.5257,23.211,108.462
27.3066,19.721,2.6968,0.3337,0.1779,-10.2031,19.5438,-9.9222,28.615,47.6641
84.2564,29.1738,3.0953,0.2489,0.1289,-25.9247,57.1937,-26.013,1.605,335.621
29.5497,16.2657,2.5911,0.3385,0.1782,37.2182,-13.9248,-11.8548,9.969,245.001
27.4069,22.8564,3.0336,0.3498,0.2291,-5.118,-14.929,17.33,76.05,102.33
33.0599,4.4751,2.5407,0.4565,0.2333,-31.0691,0.9317,0.3554,88.1171,97.4738
55.5478,18.9378,3.2303,0.2124,0.1068,26.7672,45.8484,7.1053,5.806,235.644
25.5165,15.0138,2.6253,0.4621,0.2713,0.6638,23.9959,-8.2883,26.9872,111.085
79.9145,35.7305,3.5049,0.1967,0.1052,-8.7429,71.4297,34.6301,2.605,326.791
103.407,64.4265,4.1762,0.0668,0.0349,-0.7411,64.3895,49.2008,74.192,159.135
13.002,10.93,2.1319,0.7528,0.4613,-13.9187,6.0316,-9.1771,62.424,204.586
48.9754,20.5578,3.1452,0.2126,0.1199,13.1907,27.6571,-11.5802,1.66,195.176
42.6125,22.9955,3.0175,0.2161,0.1129,28.7517,16.5333,-11.5942,7.055,238.908
39.9736,26.9678,3.4241,0.212,0.1094,-6.3292,26.8147,-20.5765,9.6193,174.992
41.0393,12.049,2.9396,0.4115,0.267,21.8993,33.6709,-10.5078,16.1705,238.4506
26.6349,25.9017,2.8122,0.4255,0.2007,14.0788,23.3311,12.7453,30.9235,185.8905
41.4607,13.1818,2.8417,0.2869,0.2009,12.6922,33.6571,9.0741,49.329,210.499
157.741,74.2172,3.1944,0.1214,0.0617,-112.039,-163.925,-85.9577,5.421,90.0794
36.461,15.4114,2.4514,0.4665,0.2437,53.5965,25.57,7.1297,87.1801,312.4369
28.1352,7.2349,2.5915,0.7374,0.4156,19.8117,12.7035,6.3876,16.7591,139.6012
64.3565,15.1921,2.847,0.2077,0.1117,37.4254,49.6431,-6.5371,3.661,168.403
87.306,32.0081,3.7907,0.1569,0.0833,60.1796,79.2416,-13.9172,1.3293,294.466
16.1728,8.3216,2.2174,0.8383,0.5297,0.187,5.7161,-14.0271,81.6645,138.802
21.9325,6.617,2.4057,0.7308,0.4342,-22.5289,-13.7398,6.6181,58.5795,148.425
180.996,145.783,4.4571,0.0516,0.0277,-63.5218,-160.89,132.388,67.1736,291.994
72.1032,44.7142,3.5153,0.2015,0.1323,-15.4422,-62.6886,24.4375,28.376,363.5335
26.1033,19.74,2.7657,0.3105,0.1827,0.2545,-7.5265,-11.0293,5.4609,182.494
27.2873,21.3621,2.7063,0.3422,0.1878,-2.8401,-17.936,11.2756,17.919,73.7366
17.6798,10.9569,2.2148,0.5366,0.2957,-0.5043,4.9753,-4.8227,82.015,180.983
51.1323,12.8883,2.6739,0.2627,0.1324,-18.1474,-22.0785,8.782,17.713,89.1934
28.0708,8.9831,2.5308,0.5217,0.2802,6.1847,34.7658,-5.7701,17.1458,203.9697
65.8793,11.4066,3.0427,0.3221,0.1727,50.1926,62.4208,12.4883,37.1496,301.007
89.5962,21.532,2.772,0.2401,0.1226,-48.1244,-104.224,-13.1465,7.4382,209.439
43.48,8.6907,2.5347,0.3971,0.2117,42.5859,-22.1743,-5.9437,1.701,180.013
17.9676,10.7983,2.1644,0.5411,0.2842,-0.9338,6.3821,-4.4997,77.35,230.022
34.9412,24.3793,3.1654,0.2412,0.1261,32.5757,-23.1328,-14.5903,5.6692,134.926
47.2489,18.8375,2.9151,0.2517,0.1331,-9.9978,-34.2862,13.7532,0.7073,199.989
16.3134,11.3875,2.3304,0.6168,0.3715,-2.7765,6.1605,-7.3755,9.3001,102.422
32.4251,9.629,2.4393,0.4364,0.2564,-2.2216,23.9613,4.2002,6.6791,165.517
42.9026,19.7604,2.955,0.2607,0.1514,-2.7236,-17.8472,11.9466,9.3727,222.587
40.381,23.8161,2.8069,0.2632,0.1517,-15.4082,36.562,15.0864,6.8587,87.1968
18.7354,10.6923,2.3096,0.7059,0.3652,-8.339,16.5115,-7.031,46.1771,156.999
20.9103,15.2311,2.4487,0.4484,0.2331,-0.7028,-7.7378,-7.4624,16.5516,101.877
100.9329,17.1969,3.2708,0.1915,0.0734,-33.8136,34.2887,16.4053,88.4878,218.2294
52.1044,17.2225,2.9523,0.3248,0.2037,29.9876,52.6747,-7.3971,5.8345,263.582
12.9782,11.1038,2.2467,0.7479,0.4391,-14.4023,6.747,-10.0441,0.131,64.9302
26.5235,16.858,2.6253,0.3768,0.2121,17.0179,-16.1392,12.0606,61.8555,68.6825
49.6368,33.6785,2.9453,0.3469,0.1919,-4.7867,20.643,26.6908,2.9996,413.0706
25.7294,18.3896,2.7501,0.4587,0.3102,22.7825,23.4762,8.6497,7.882,126.857
19.9009,7.0867,2.273,0.7893,0.4133,21.1245,13.102,-4.9082,70.729,240.525
18.7287,10.3512,2.1271,0.5448,0.2873,24.6252,8.0026,-3.8149,46.959,225.653
26.1516,17.4999,2.792,0.4019,0.2107,-6.3634,16.6793,-11.4837,10.6685,153.697
22.7146,16.1697,2.4314,0.4519,0.2352,11.3707,14.0026,11.3514,15.825,228.628
90.8484,33.0185,3.7827,0.1766,0.0923,-53.3876,49.7881,20.7582,2.5821,332.585
21.3521,16.4104,2.6263,0.3853,0.2139,-24.5247,-13.1007,6.2545,2.933,133.72
91.613,21.5721,3.125,0.168,0.0844,-96.8061,80.6738,-12.7978,0.019,243.675
32.5436,10.68,2.6686,0.3879,0.2278,2.8825,33.0214,5.7868,44.8836,178.558
62.1376,23.3124,3.3193,0.2325,0.1215,38.1039,64.4663,6.6418,8.626,250.738
21.115,10.6704,2.2625,0.6011,0.3415,20.6835,19.2718,-11.1166,62.108,196.488
27.5202,16.582,2.5809,0.3675,0.1877,-6.1815,18.1638,12.4413,14.777,103.044
55.0304,26.4331,2.8287,0.2953,0.155,-67.7377,27.1398,-16.1175,8.2667,274.001
63.9423,14.0043,3.1664,0.2204,0.1108,-32.9512,-31.0729,12.8024,70.9378,214.8704
33.9614,15.6924,2.6785,0.3291,0.1876,0.3453,-20.5809,5.4396,2.818,194.574
28.1288,19.641,2.6547,0.3477,0.1872,-18.2175,10.6267,18.2321,24.2231,226.955
88.2236,71.8038,3.4467,0.1684,0.1072,-16.6221,74.9546,35.006,53.8456,350.8812
52.7704,22.7587,3.301,0.221,0.1213,-10.0616,-38.666,-11.5354,0.249,246.166
31.4119,22.408,2.9469,0.2915,0.1701,23.0568,-7.4329,5.8207,80.8649,260.658
206.5307,105.1574,3.362,0.3793,0.2417,-274.9827,174.4359,-91.8915,84.6314,336.1271
102.022,24.3984,3.3921,0.212,0.1113,-106.889,59.4414,4.8632,1.8933,335.552
102.044,47.8929,3.0374,0.2505,0.1271,79.5973,94.5201,21.9743,49.9828,195.345
34.3446,18.1795,2.7271,0.3955,0.2165,35.3808,28.1979,11.4743,13.5225,137.777
123.0896,33.3486,3.15,0.4688,0.2933,-112.8674,-62.746,17.4608,59.2022,270.6618
21.434,14.7528,2.3589,0.4683,0.2385,-33.9448,17.357,-6.2743,10.066,192.929
13.4944,10.1614,2.2978,0.8111,0.4307,14.4597,4.8933,11.8212,67.339,138.325
67.2381,23.3964,3.107,0.2571,0.1356,-64.0668,48.9179,18.5981,6.5364,267.672
41.3581,22.8099,3.1327,0.2431,0.1249,-8.2096,35.6078,13.5722,13.988,205.323
20.0294,11.4199,2.5557,0.5758,0.3102,6.3374,16.1264,4.2494,28.298,76.802
96.7193,33.6874,3.9202,0.136,0.0711,26.8044,80.4982,12.2979,2.0169,326.507
41.9841,20.3999,2.6289,0.322,0.1939,32.2729,36.4194,-15.5429,5.783,161.803
22.6892,11.0188,2.281,0.6021,0.3377,-16.0832,-18.8818,-4.3507,11.3678,189.22
53.0403,13.8821,2.8159,0.4125,0.2987,41.2841,47.6989,11.2755,10.1148,237.736
22.8277,14.7154,2.4579,0.5261,0.3502,6.4309,12.8232,7.3278,53.449,155.257
81.8495,36.8892,2.772,0.2604,0.1513,-98.2812,25.5609,24.6676,16.194,237.432
119.0819,22.7248,3.3264,0.1813,0.1333,-97.1998,53.6097,-29.2594,42.2964,271.6877
70.0818,16.3066,3.0915,0.2602,0.1162,32.1155,16.9526,7.7851,68.307,121.0329
21.7287,11.3452,2.3598,0.5939,0.3079,20.9225,20.1144,-9.904,35.7407,75.258
38.3392,18.2407,2.6928,0.3266,0.1957,44.386,-24.9301,15.5016,7.116,241.747
62.7644,25.1345,3.7026,0.1807,0.1001,34.1638,64.2319,-10.954,4.1234,171.784
25.812,10.1488,2.2956,0.4709,0.2456,-10.5069,-19.7376,4.5985,37.8541,136.774
69.4928,22.4704,2.9845,0.2031,0.1073,-32.0917,-44.3815,9.5467,6.6543,194.324
80.7442,34.7793,3.5449,0.1038,0.0583,40.2883,66.1839,9.5819,3.0108,207.337
34.0231,16.1241,2.6875,0.4004,0.2556,16.4464,27.3226,16.6892,8.265,120.801
12.6909,11.6845,2.3375,0.6989,0.3931,-15.7631,9.6199,-5.1042,7.208,194.397
48.3426,16.9195,3.1407,0.2199,0.1132,43.944,32.3363,4.1885,0.386,193.943
18.2123,12.7203,2.4158,0.595,0.3013,-5.0695,13.5919,-7.9454,83.0753,196.808
20.5867,12.5551,2.3212,0.463,0.2458,-2.1316,11.3816,10.1354,31.2984,175.519
102.077,17.4616,2.9943,0.2979,0.1727,-150.671,48.1427,-16.7787,4.3488,271.352
18.9053,13.0977,2.4322,0.6322,0.3641,18.6186,18.1889,4.5549,33.344,146.562
37.7361,9.6408,2.7889,0.4309,0.2171,-43.5298,-5.5258,-3.052,1.7976,218.111
48.0649,6.4926,2.4433,0.5369,0.355,-5.5375,-11.5578,4.9494,12.5969,256.029
35.3473,9.391,2.7608,0.4493,0.2385,31.0011,25.2467,5.2053,81.7432,254.38
41.2576,12.722,2.5669,0.5178,0.282,8.734,-18.5681,3.7897,39.3094,227.6133
20.3875,7.2941,2.0737,0.7004,0.384,-0.5028,5.8566,5.6952,84.1758,235.629
35.7518,24.4487,3.0011,0.2145,0.1222,-27.1295,14.6153,-16.6352,15.4842,200.751
103.0086,30.7006,3.1609,0.3051,0.1841,-133.5317,-74.094,-23.2079,13.9507,393.1593
58.0363,16.0858,2.9031,0.2313,0.1206,4.6148,18.862,-12.3309,4.9132,133.565
30.5026,18.7911,2.5883,0.3535,0.1871,29.2552,25.6006,-13.3745,27.9829,117.905
36.1792,23.6883,3.1297,0.2025,0.1027,-21.4756,-7.1112,9.8583,18.8627,89.4831
84.0407,16.6481,3.0164,0.2396,0.1226,-97.1136,59.2023,-17.7659,24.7881,262.5706
76.7265,46.1018,3.0732,0.1526,0.079,14.4336,38.8298,-40.4289,28.7818,140.9653
21.7471,10.5469,2.2201,0.6145,0.4006,19.606,20.5637,-11.5252,16.005,158.279
42.9224,7.9326,2.2989,0.5578,0.2789,51.3151,20.0999,1.9651,7.817,231.201
12.8462,11.4618,2.2,0.7319,0.3943,-15.1677,7.1055,-11.115,60.268,47.7054
21.0071,14.9404,2.4487,0.4875,0.2509,1.809,-6.3112,-9.7286,29.349,190.163
162.1829,44.8132,2.7339,0.3696,0.1793,-72.7725,-153.1119,-23.274,5.638,332.7235
52.8342,31.0263,2.7818,0.4066,0.2653,36.8687,12.1768,20.1761,1.1826,377.361
65.0492,20.4085,3.1836,0.2333,0.1268,-64.2384,42.3664,-13.017,9.9495,262.636
80.4337,25.0718,3.227,0.3166,0.1764,22.1043,-33.8164,-17.5309,0.867,352.189
33.8898,17.6924,2.9647,0.3026,0.1719,13.8792,25.8841,7.6886,6.891,90.7788
182.5003,76.5568,3.6872,0.1123,0.0666,192.2675,93.0302,-62.6192,82.1691,283.4731
18.0165,17.3877,2.4871,0.5277,0.3762,13.5811,15.9863,16.6684,57.922,155.34
32.4106,12.9067,2.4646,0.4906,0.2556,12.1954,22.2017,-7.5632,13.097,151.687
28.7802,15.2527,2.3927,0.4251,0.2247,29.8074,18.1433,-10.5433,21.3396,164.68
97.279,68.7333,3.8828,0.1282,0.0695,-0.5356,-69.6596,-40.8534,25.5154,357.119
17.3357,10.9817,2.2833,0.5781,0.2995,-22.4642,-9.4314,3.6979,22.2335,116.364
29.1562,13.4645,2.6772,0.4143,0.2114,10.5175,11.3395,10.6508,8.3777,174.145
126.4664,67.1742,3.9231,0.0807,0.0789,-22.1934,52.0692,53.2885,82.8786,318.5879
20.482,15.8618,2.3945,0.4355,0.2359,-2.2302,9.9438,-9.791,71.972,126.831
24.002,11.544,2.3572,0.5516,0.3571,1.5807,-5.1194,-6.7626,75.7846,98.3481
28.8128,11.5802,2.6767,0.5032,0.3168,3.8717,-11.3303,8.7701,46.5083,184.127
27.6167,8.807,2.2833,0.651,0.3724,8.7664,23.2664,3.2946,89.7323,89.1692
32.1296,18.7433,2.8126,0.3587,0.1994,10.1949,-31.883,-13.4996,1.325,219.449
24.3751,19.0703,2.8567,0.4186,0.2455,5.8433,-12.8979,11.8995,45.8112,52.2355
49.257,18.4276,2.8606,0.3846,0.2433,-56.7837,-32.5111,-20.3946,3.3884,273.062
28.5425,11.917,2.5647,0.4387,0.2275,-4.0847,-24.532,-10.7587,36.659,132.207
172.979,18.5465,2.695,0.337,0.1705,-149.441,80.837,10.9899,0.329,292.708
23.8479,12.1111,2.5145,0.4404,0.2217,7.2266,4.5911,5.9242,11.4981,218.958
28.8362,11.2117,2.4786,0.4552,0.2309,-23.7812,-16.2585,-8.6529,7.4925,159.247
75.1656,39.9929,3.6372,0.0956,0.038,42.8601,39.4946,13.474,12.8791,63.5368
28.8332,12.929,2.4385,0.3679,0.1913,-29.1295,-13.0092,3.1305,5.8995,241.834
57.278,13.6043,2.8808,0.2868,0.1454,-65.7264,51.378,9.8678,1.741,264.794
21.6375,16.7437,2.4564,0.4965,0.2605,-9.0926,-16.2297,11.358,21.088,189.92
17.3613,10.5893,2.3711,0.6255,0.3936,-0.5363,4.226,7.5812,24.043,141.249
133.169,23.7599,3.0356,0.269,0.146,107.816,133.254,-18.5387,4.2004,238.259
33.7391,24.2694,3.1558,0.2627,0.1519,17.2517,-11.2511,15.7315,9.976,215.296
162.8811,112.2661,3.0987,0.2981,0.2104,-120.4171,-148.949,121.8642,15.8519,350.3663
12.8791,11.4268,2.0917,0.7368,0.3846,15.0953,-5.6954,-11.5668,67.6544,256.531
39.9963,13.3568,2.7547,0.3272,0.1996,15.6084,-26.0873,-11.7439,6.032,203.132
106.5722,59.3337,3.1147,0.2136,0.105,93.8837,90.4481,-33.2761,6.8548,278.4193
35.6467,0.9454,2.6885,0.525,0.4006,14.4871,24.9294,6.3849,43.8458,159.7466
20.2951,7.2298,2.1156,0.7433,0.3793,-3.1951,10.8325,5.5408,33.3381,188.921
43.721,23.5163,3.1587,0.2096,0.1155,38.8419,28.3415,10.336,7.992,146.153
45.3746,23.9865,3.1012,0.2131,0.1248,18.9356,29.98,-15.0227,1.1294,126.671
28.0556,10.0426,2.3793,0.5386,0.3069,-3.9058,-22.0884,-6.9987,6.912,179.05
19.3469,16.4401,2.3096,0.5686,0.2966,-26.1887,10.2652,17.1408,5.061,104.987
37.9172,13.9362,2.6679,0.3416,0.1858,9.5991,-22.152,-11.1296,27.494,145.315
12.717,11.6409,2.224,0.7045,0.397,15.6395,-9.4332,6.8921,27.85,73.9106
17.581,10.1773,2.3766,0.6471,0.4139,-0.2667,3.3367,-7.6435,65.4434,61.3823
35.522,7.8234,2.6464,0.5079,0.2562,10.8149,8.3329,1.6708,74.632,262.81
87.7698,50.302,3.0941,0.1852,0.0954,56.5442,60.863,32.7384,17.011,291.495
124.787,19.5238,2.4976,0.3816,0.1987,8.3601,115.169,-7.8125,28.935,117.201
41.4593,14.0764,2.5593,0.4717,0.2745,41.1222,36.7154,-5.4829,11.897,149.119
109.359,43.761,4.286,0.0733,0.0378,97.1079,85.7857,21.439,0.0591,293.621
