temperature,humidity,CO2CosIRValue,CO2MG811Value,MOX1,MOX2,MOX3,MOX4,COValue
20.48,58.64,39.0,518.0,527.0,698.0,641.0,591.0,157.0
17.32,51.23,109.0,508.0,551.0,729.0,689.0,634.0,108.0
21.46,56.48,111.0,514.0,531.0,747.0,690.0,644.0,100.0
20.09,56.16,69.0,503.0,538.0,714.0,674.0,623.0,115.0
18.76,50.92,81.0,534.0,556.0,733.0,693.0,635.0,96.0
14.93,51.39,110.0,507.0,572.0,742.0,705.0,652.0,100.0
22.04,52.48,142.0,534.0,448.0,674.0,621.0,543.0,207.0
18.08,45.38,66.0,625.0,581.0,789.0,758.0,702.0,93.0
18.52,56.71,109.0,526.0,531.0,719.0,680.0,611.0,109.0
19.82,58.99,255.0,499.0,484.0,651.0,598.0,526.0,187.0
20.16,57.6,111.0,547.0,483.0,732.0,683.0,623.0,98.0
20.27,57.5,77.0,502.0,534.0,711.0,671.0,618.0,112.0
22.12,54.25,137.0,570.0,424.0,693.0,642.0,564.0,140.0
23.46,52.0,115.0,552.0,468.0,704.0,663.0,588.0,115.0
19.89,54.52,104.0,532.0,504.0,722.0,678.0,610.0,99.0
25.02,50.28,74.0,533.0,440.0,675.0,630.0,550.0,140.0
24.15,47.16,129.0,513.0,487.0,672.0,628.0,554.0,168.0
19.62,59.39,69.0,535.0,475.0,690.0,635.0,573.0,123.0
20.45,52.52,57.0,521.0,541.0,752.0,699.0,660.0,101.0
18.32,52.35,119.0,513.0,519.0,690.0,653.0,574.0,126.0
17.29,49.93,108.0,504.0,548.0,705.0,671.0,601.0,96.0
18.89,55.46,113.0,503.0,493.0,679.0,624.0,560.0,170.0
22.02,57.61,132.0,495.0,500.0,636.0,603.0,518.0,124.0
20.12,53.56,97.0,608.0,500.0,746.0,703.0,636.0,106.0
16.85,49.84,104.0,507.0,522.0,714.0,677.0,612.0,108.0
14.81,52.56,114.0,509.0,567.0,736.0,692.0,635.0,103.0
20.54,49.09,110.0,508.0,519.0,715.0,674.0,617.0,114.0
20.13,57.11,44.0,524.0,551.0,747.0,696.0,654.0,93.0
23.73,45.37,115.0,517.0,489.0,673.0,628.0,550.0,163.0
22.66,44.54,125.0,578.0,470.0,711.0,668.0,592.0,132.0
24.18,53.23,124.0,548.0,471.0,700.0,648.0,576.0,120.0
24.61,46.09,97.0,604.0,487.0,730.0,684.0,611.0,116.0
24.24,52.99,119.0,549.0,472.0,701.0,649.0,578.0,119.0
22.89,54.04,72.0,535.0,510.0,710.0,664.0,601.0,121.0
20.15,48.37,98.0,503.0,507.0,710.0,673.0,606.0,102.0
17.94,51.65,113.0,503.0,540.0,713.0,676.0,614.0,104.0
19.51,55.09,106.0,548.0,476.0,718.0,662.0,602.0,125.0
20.95,61.3,162.0,491.0,545.0,724.0,642.0,571.0,267.0
18.68,56.41,80.0,538.0,519.0,732.0,691.0,625.0,104.0
23.0,50.74,101.0,501.0,495.0,682.0,643.0,567.0,117.0
16.56,52.69,113.0,507.0,518.0,711.0,664.0,598.0,124.0
16.82,54.26,119.0,590.0,505.0,761.0,722.0,669.0,90.0
23.2,49.58,108.0,526.0,513.0,687.0,648.0,568.0,131.0
23.3,44.53,100.0,602.0,493.0,742.0,701.0,628.0,108.0
20.67,53.88,110.0,553.0,482.0,710.0,663.0,593.0,128.0
22.23,54.54,119.0,542.0,495.0,715.0,667.0,601.0,127.0
16.74,53.07,88.0,514.0,534.0,725.0,685.0,629.0,100.0
19.82,54.76,62.0,540.0,529.0,740.0,695.0,649.0,103.0
20.15,58.26,73.0,500.0,533.0,708.0,665.0,612.0,120.0
22.54,54.51,66.0,536.0,507.0,712.0,666.0,605.0,118.0
20.58,52.95,53.0,521.0,540.0,750.0,696.0,653.0,108.0
23.02,55.18,77.0,536.0,403.0,672.0,627.0,545.0,145.0
20.25,49.9,72.0,622.0,538.0,771.0,734.0,678.0,94.0
19.25,51.8,90.0,557.0,529.0,737.0,689.0,624.0,127.0
20.34,56.69,70.0,498.0,534.0,706.0,665.0,618.0,121.0
17.36,47.56,90.0,508.0,532.0,708.0,666.0,606.0,102.0
20.04,57.52,70.0,498.0,533.0,711.0,669.0,621.0,120.0
19.38,59.01,151.0,518.0,505.0,701.0,655.0,587.0,133.0
18.13,42.43,71.0,618.0,502.0,776.0,740.0,670.0,105.0
23.75,51.44,110.0,545.0,469.0,705.0,660.0,589.0,123.0
17.75,51.96,72.0,509.0,548.0,733.0,696.0,642.0,95.0
18.23,57.18,112.0,526.0,533.0,721.0,683.0,615.0,108.0
23.76,50.11,144.0,563.0,397.0,683.0,641.0,555.0,128.0
16.95,50.95,120.0,584.0,502.0,744.0,703.0,644.0,108.0
19.98,54.96,110.0,547.0,485.0,740.0,695.0,639.0,98.0
23.54,52.85,108.0,553.0,453.0,695.0,653.0,580.0,126.0
22.65,45.62,115.0,513.0,447.0,693.0,644.0,568.0,152.0
16.24,52.05,111.0,509.0,560.0,741.0,701.0,654.0,101.0
22.61,47.51,118.0,587.0,459.0,701.0,657.0,563.0,121.0
22.24,47.89,110.0,513.0,459.0,695.0,650.0,582.0,141.0
16.6,49.88,98.0,516.0,542.0,720.0,681.0,615.0,127.0
16.78,50.43,106.0,505.0,557.0,723.0,686.0,625.0,94.0
20.67,57.65,119.0,546.0,479.0,726.0,675.0,615.0,102.0
23.66,49.46,108.0,554.0,391.0,724.0,670.0,602.0,117.0
15.52,57.99,74.0,507.0,589.0,741.0,706.0,649.0,106.0
24.22,48.42,113.0,540.0,474.0,705.0,652.0,592.0,163.0
23.28,49.36,100.0,526.0,493.0,710.0,667.0,599.0,120.0
20.5,57.69,44.0,524.0,553.0,746.0,695.0,652.0,92.0
16.31,50.37,65.0,515.0,577.0,743.0,708.0,653.0,100.0
19.07,55.85,104.0,532.0,516.0,728.0,683.0,620.0,97.0
20.13,54.4,112.0,550.0,493.0,695.0,631.0,566.0,139.0
20.33,57.73,73.0,499.0,532.0,706.0,663.0,612.0,124.0
21.85,50.14,106.0,527.0,525.0,720.0,678.0,619.0,117.0
21.05,57.84,114.0,513.0,530.0,740.0,683.0,637.0,100.0
20.16,56.08,142.0,563.0,405.0,709.0,665.0,581.0,129.0
18.8,53.16,107.0,561.0,476.0,715.0,667.0,594.0,108.0
19.56,55.67,118.0,559.0,477.0,733.0,688.0,630.0,110.0
18.27,55.15,118.0,522.0,544.0,739.0,697.0,648.0,106.0
19.47,48.25,123.0,581.0,476.0,742.0,701.0,639.0,111.0
21.08,46.4,114.0,501.0,504.0,703.0,656.0,595.0,109.0
17.79,55.07,102.0,601.0,445.0,734.0,693.0,615.0,100.0
20.7,59.37,78.0,514.0,543.0,732.0,680.0,632.0,99.0
18.57,46.37,68.0,624.0,580.0,787.0,757.0,703.0,86.0
20.26,56.58,70.0,501.0,538.0,715.0,674.0,625.0,115.0
18.4,53.41,108.0,596.0,419.0,738.0,694.0,627.0,106.0
23.46,51.81,104.0,551.0,445.0,719.0,661.0,603.0,105.0
23.21,49.66,133.0,511.0,458.0,670.0,626.0,550.0,163.0
24.32,50.06,105.0,544.0,378.0,718.0,655.0,577.0,139.0
20.3,56.77,68.0,503.0,536.0,714.0,673.0,623.0,114.0
21.26,51.95,50.0,542.0,492.0,722.0,679.0,626.0,130.0
20.51,54.6,182.0,556.0,437.0,685.0,604.0,532.0,137.0
17.92,57.87,110.0,597.0,399.0,717.0,675.0,587.0,102.0
17.36,51.23,112.0,514.0,529.0,723.0,677.0,611.0,116.0
18.09,41.09,64.0,628.0,581.0,798.0,766.0,713.0,86.0
22.42,46.32,102.0,596.0,485.0,736.0,695.0,625.0,102.0
19.34,53.64,96.0,578.0,424.0,723.0,670.0,580.0,112.0
22.19,49.46,91.0,606.0,440.0,719.0,677.0,589.0,105.0
23.74,52.15,71.0,535.0,457.0,682.0,637.0,558.0,133.0
22.36,48.12,118.0,589.0,486.0,724.0,680.0,597.0,112.0
24.0,49.83,100.0,528.0,487.0,667.0,602.0,534.0,115.0
20.64,44.49,108.0,588.0,450.0,713.0,664.0,597.0,164.0
19.73,55.64,74.0,505.0,544.0,723.0,683.0,633.0,107.0
20.18,47.21,106.0,508.0,543.0,705.0,668.0,600.0,112.0
23.49,48.13,121.0,593.0,455.0,714.0,671.0,581.0,115.0
20.2,57.21,74.0,498.0,532.0,708.0,665.0,612.0,121.0
18.46,48.22,92.0,513.0,560.0,723.0,687.0,626.0,101.0
20.55,54.22,130.0,544.0,454.0,675.0,614.0,536.0,178.0
20.08,57.11,66.0,504.0,536.0,715.0,674.0,622.0,112.0
21.22,47.62,104.0,501.0,483.0,694.0,656.0,585.0,109.0
16.8,53.98,122.0,580.0,487.0,727.0,674.0,606.0,136.0
22.99,50.02,125.0,550.0,457.0,704.0,644.0,572.0,124.0
21.52,48.52,116.0,506.0,478.0,689.0,646.0,578.0,134.0
20.96,43.75,101.0,596.0,411.0,745.0,702.0,638.0,113.0
23.94,56.57,370.0,484.0,447.0,627.0,578.0,500.0,237.0
20.27,56.52,66.0,504.0,538.0,718.0,676.0,626.0,108.0
21.92,54.19,71.0,536.0,479.0,704.0,659.0,591.0,123.0
19.77,56.34,119.0,540.0,518.0,730.0,672.0,619.0,121.0
15.93,48.54,83.0,511.0,566.0,731.0,689.0,631.0,109.0
20.36,57.57,44.0,524.0,552.0,747.0,696.0,653.0,91.0
22.68,45.09,118.0,511.0,460.0,704.0,661.0,592.0,152.0
23.24,50.79,132.0,565.0,416.0,677.0,593.0,527.0,121.0
19.95,54.53,67.0,505.0,544.0,726.0,687.0,637.0,100.0
23.46,51.39,109.0,545.0,480.0,708.0,663.0,591.0,125.0
20.06,59.15,124.0,496.0,499.0,674.0,635.0,558.0,125.0
17.4,53.25,115.0,514.0,528.0,704.0,661.0,593.0,116.0
22.85,44.85,131.0,507.0,493.0,689.0,650.0,574.0,136.0
22.26,47.44,139.0,583.0,448.0,701.0,661.0,563.0,107.0
20.58,54.68,109.0,551.0,509.0,725.0,673.0,610.0,102.0
20.51,48.62,104.0,509.0,516.0,718.0,677.0,621.0,114.0
18.43,51.75,113.0,502.0,527.0,716.0,679.0,617.0,108.0
17.97,52.61,116.0,592.0,487.0,757.0,716.0,658.0,101.0
23.54,50.67,59.0,538.0,500.0,714.0,667.0,611.0,118.0
21.82,55.74,109.0,515.0,529.0,746.0,689.0,640.0,101.0
22.52,46.52,108.0,518.0,501.0,690.0,643.0,577.0,148.0
23.48,46.84,106.0,552.0,486.0,739.0,686.0,627.0,109.0
19.58,57.06,127.0,563.0,389.0,694.0,649.0,564.0,135.0
20.36,59.53,74.0,496.0,530.0,698.0,654.0,602.0,130.0
20.04,47.82,81.0,616.0,540.0,767.0,731.0,672.0,86.0
19.5,58.42,144.0,519.0,506.0,704.0,659.0,591.0,130.0
20.99,57.74,52.0,521.0,554.0,727.0,671.0,624.0,102.0
19.13,50.35,123.0,589.0,461.0,750.0,709.0,648.0,97.0
20.57,47.88,112.0,512.0,505.0,709.0,668.0,602.0,127.0
18.76,58.71,112.0,498.0,509.0,695.0,657.0,587.0,110.0
19.38,54.98,105.0,548.0,523.0,725.0,671.0,606.0,123.0
18.64,48.14,82.0,616.0,534.0,782.0,742.0,686.0,128.0
19.08,50.12,111.0,506.0,472.0,679.0,628.0,558.0,159.0
19.62,58.85,115.0,530.0,486.0,703.0,656.0,588.0,108.0
19.26,55.51,48.0,523.0,556.0,757.0,706.0,663.0,102.0
19.82,50.86,102.0,565.0,466.0,740.0,699.0,643.0,99.0
23.71,49.21,108.0,553.0,416.0,731.0,679.0,614.0,111.0
20.08,51.38,88.0,615.0,369.0,752.0,700.0,617.0,108.0
20.4,55.36,142.0,570.0,450.0,707.0,659.0,586.0,119.0
19.49,46.88,77.0,562.0,466.0,750.0,703.0,648.0,97.0
19.88,57.57,116.0,531.0,491.0,705.0,659.0,593.0,108.0
19.22,46.82,116.0,585.0,451.0,713.0,665.0,599.0,176.0
20.54,47.0,104.0,513.0,473.0,705.0,659.0,590.0,136.0
17.9,50.52,90.0,505.0,543.0,734.0,697.0,641.0,93.0
21.03,49.53,120.0,586.0,436.0,694.0,615.0,547.0,144.0
18.43,50.86,58.0,545.0,584.0,757.0,720.0,670.0,91.0
19.41,54.05,152.0,510.0,479.0,686.0,638.0,571.0,156.0
23.11,49.36,105.0,581.0,481.0,730.0,690.0,625.0,106.0
23.49,53.96,118.0,550.0,474.0,703.0,649.0,578.0,120.0
25.38,50.49,260.0,510.0,432.0,652.0,587.0,514.0,263.0
19.52,56.44,142.0,564.0,399.0,716.0,674.0,593.0,121.0
16.92,50.19,70.0,616.0,571.0,778.0,744.0,696.0,96.0
21.25,53.2,127.0,575.0,460.0,716.0,673.0,600.0,105.0
18.4,50.43,126.0,581.0,485.0,745.0,703.0,642.0,108.0
17.07,50.87,118.0,584.0,498.0,743.0,701.0,643.0,107.0
24.87,52.03,123.0,548.0,471.0,703.0,655.0,583.0,120.0
19.79,55.94,70.0,503.0,538.0,716.0,675.0,621.0,112.0
20.05,55.33,76.0,502.0,540.0,724.0,684.0,637.0,109.0
18.02,51.24,116.0,589.0,440.0,738.0,675.0,587.0,104.0
21.26,48.01,45.0,524.0,535.0,726.0,671.0,596.0,92.0
19.84,58.64,76.0,534.0,484.0,715.0,668.0,607.0,111.0
22.37,54.91,112.0,548.0,458.0,721.0,667.0,609.0,104.0
19.4,60.69,72.0,532.0,468.0,676.0,618.0,553.0,166.0
20.0,56.13,72.0,500.0,538.0,720.0,679.0,631.0,112.0
20.33,57.75,70.0,498.0,530.0,705.0,663.0,614.0,123.0
22.0,48.39,106.0,598.0,462.0,730.0,686.0,613.0,141.0
14.9,52.49,112.0,508.0,567.0,734.0,690.0,632.0,102.0
23.46,54.4,111.0,531.0,484.0,691.0,645.0,584.0,127.0
23.2,46.41,123.0,511.0,420.0,670.0,627.0,549.0,196.0
19.85,57.16,52.0,521.0,541.0,736.0,680.0,623.0,96.0
19.76,55.15,66.0,505.0,542.0,721.0,682.0,631.0,101.0
22.39,54.2,110.0,545.0,475.0,712.0,665.0,603.0,117.0
18.18,46.06,61.0,629.0,594.0,790.0,760.0,706.0,78.0
18.1,40.4,63.0,629.0,581.0,800.0,769.0,715.0,88.0
20.29,53.99,104.0,531.0,504.0,716.0,671.0,603.0,102.0
20.3,58.7,126.0,549.0,481.0,719.0,677.0,608.0,110.0
23.32,51.92,71.0,534.0,464.0,688.0,643.0,568.0,130.0
19.94,56.19,74.0,499.0,536.0,713.0,671.0,623.0,115.0
16.43,55.56,74.0,535.0,579.0,743.0,706.0,647.0,87.0
20.23,57.28,44.0,524.0,550.0,743.0,691.0,644.0,92.0
20.5,59.37,73.0,497.0,527.0,699.0,655.0,605.0,125.0
15.81,43.39,60.0,517.0,607.0,771.0,741.0,694.0,83.0
20.22,58.51,74.0,497.0,533.0,703.0,661.0,611.0,126.0
20.26,52.05,80.0,560.0,492.0,744.0,699.0,635.0,91.0
18.75,49.29,80.0,594.0,516.0,754.0,717.0,657.0,111.0
21.38,57.55,100.0,508.0,539.0,724.0,671.0,622.0,97.0
19.7,48.03,108.0,505.0,508.0,717.0,676.0,616.0,118.0
22.14,51.99,101.0,607.0,473.0,739.0,686.0,610.0,119.0
23.4,50.59,101.0,529.0,486.0,670.0,599.0,538.0,114.0
24.26,52.94,122.0,548.0,460.0,701.0,655.0,581.0,124.0
21.84,54.0,158.0,532.0,482.0,714.0,654.0,582.0,149.0
22.06,59.32,141.0,507.0,502.0,721.0,654.0,596.0,123.0
23.83,50.17,110.0,543.0,389.0,722.0,655.0,585.0,129.0
18.24,53.07,105.0,554.0,513.0,756.0,710.0,657.0,96.0
21.32,55.51,116.0,598.0,430.0,722.0,667.0,595.0,183.0
17.35,52.96,99.0,512.0,491.0,713.0,674.0,610.0,108.0
19.46,50.64,113.0,598.0,478.0,739.0,697.0,623.0,111.0
19.16,51.89,104.0,574.0,524.0,754.0,717.0,655.0,116.0
15.31,43.06,68.0,608.0,576.0,780.0,747.0,692.0,97.0
20.18,46.5,105.0,513.0,537.0,717.0,677.0,613.0,125.0
25.44,49.2,115.0,546.0,472.0,667.0,581.0,524.0,127.0
22.86,47.57,142.0,509.0,437.0,662.0,617.0,539.0,180.0
15.78,44.51,62.0,517.0,605.0,768.0,738.0,691.0,84.0
19.98,57.09,55.0,522.0,538.0,735.0,679.0,621.0,98.0
19.4,48.94,106.0,513.0,517.0,713.0,673.0,607.0,119.0
21.62,51.37,107.0,554.0,469.0,744.0,697.0,637.0,111.0
19.57,53.8,114.0,545.0,509.0,728.0,680.0,618.0,120.0
17.97,52.39,121.0,590.0,485.0,745.0,694.0,627.0,100.0
20.82,54.82,55.0,521.0,535.0,745.0,691.0,647.0,103.0
18.68,53.46,124.0,590.0,500.0,724.0,684.0,600.0,103.0
20.12,58.09,73.0,496.0,534.0,709.0,667.0,616.0,117.0
21.44,46.54,98.0,596.0,501.0,744.0,704.0,637.0,93.0
16.99,49.5,91.0,505.0,537.0,722.0,676.0,624.0,112.0
16.85,48.88,99.0,509.0,542.0,715.0,680.0,616.0,109.0
18.61,47.46,106.0,503.0,527.0,728.0,689.0,633.0,102.0
18.3,48.04,107.0,510.0,513.0,725.0,685.0,624.0,119.0
25.12,45.25,107.0,600.0,399.0,715.0,671.0,584.0,116.0
20.37,59.53,74.0,496.0,528.0,697.0,654.0,604.0,130.0
23.71,53.42,234.0,498.0,433.0,638.0,582.0,488.0,263.0
19.52,46.12,67.0,624.0,570.0,778.0,745.0,688.0,79.0
19.84,56.35,104.0,533.0,473.0,711.0,665.0,609.0,109.0
21.17,50.08,101.0,563.0,454.0,738.0,696.0,639.0,106.0
19.28,48.91,79.0,616.0,539.0,763.0,727.0,662.0,83.0
20.78,50.64,117.0,522.0,520.0,718.0,678.0,614.0,123.0
21.26,56.84,138.0,492.0,514.0,680.0,638.0,572.0,152.0
19.28,52.67,137.0,582.0,464.0,730.0,688.0,615.0,106.0
18.3,54.84,122.0,522.0,542.0,741.0,699.0,652.0,104.0
20.7,56.05,132.0,560.0,464.0,715.0,667.0,597.0,109.0
16.58,50.96,100.0,508.0,542.0,702.0,651.0,585.0,112.0
24.16,46.59,116.0,523.0,475.0,705.0,662.0,599.0,122.0
21.12,54.2,98.0,533.0,451.0,698.0,652.0,591.0,110.0
15.54,52.21,111.0,507.0,561.0,719.0,672.0,610.0,106.0
20.68,49.36,127.0,585.0,404.0,738.0,694.0,627.0,124.0
18.54,52.53,100.0,526.0,536.0,738.0,699.0,642.0,104.0
20.79,43.88,107.0,505.0,469.0,694.0,653.0,585.0,146.0
19.06,53.91,100.0,551.0,488.0,724.0,652.0,592.0,128.0
20.58,57.77,42.0,518.0,526.0,703.0,647.0,599.0,153.0
20.62,54.22,106.0,530.0,492.0,706.0,661.0,586.0,108.0
19.79,56.93,76.0,501.0,534.0,715.0,673.0,623.0,112.0
22.34,50.48,103.0,555.0,443.0,740.0,689.0,630.0,113.0
21.23,57.5,125.0,550.0,467.0,713.0,671.0,604.0,118.0
22.32,51.33,123.0,569.0,398.0,702.0,641.0,570.0,122.0
19.32,60.42,128.0,497.0,523.0,672.0,637.0,557.0,108.0
22.36,49.01,94.0,504.0,508.0,698.0,649.0,586.0,118.0
19.44,56.99,113.0,599.0,467.0,737.0,688.0,621.0,138.0
21.12,57.02,113.0,547.0,478.0,726.0,674.0,615.0,104.0
17.12,51.81,110.0,514.0,541.0,734.0,693.0,633.0,105.0
17.47,53.09,60.0,516.0,522.0,720.0,683.0,620.0,132.0
17.08,41.46,60.0,628.0,606.0,802.0,775.0,724.0,85.0
19.47,56.55,76.0,504.0,543.0,721.0,681.0,630.0,109.0
20.32,46.66,112.0,583.0,458.0,725.0,682.0,612.0,134.0
19.87,56.1,72.0,502.0,538.0,720.0,680.0,632.0,113.0
23.08,50.09,104.0,525.0,487.0,705.0,663.0,600.0,113.0
20.19,57.0,72.0,500.0,537.0,714.0,672.0,623.0,116.0
23.62,44.66,114.0,595.0,469.0,735.0,693.0,621.0,106.0
18.49,58.23,113.0,498.0,521.0,704.0,665.0,600.0,108.0
19.08,51.0,116.0,596.0,461.0,737.0,695.0,624.0,110.0
23.76,54.75,119.0,528.0,459.0,656.0,610.0,530.0,140.0
24.63,50.24,113.0,546.0,470.0,657.0,563.0,514.0,126.0
23.34,50.02,102.0,529.0,476.0,663.0,583.0,529.0,113.0
22.31,51.46,124.0,576.0,435.0,709.0,665.0,588.0,108.0
22.56,55.5,169.0,489.0,502.0,642.0,606.0,519.0,131.0
19.51,55.52,127.0,564.0,480.0,720.0,668.0,604.0,106.0
22.31,47.62,110.0,513.0,459.0,695.0,649.0,582.0,142.0
20.47,59.05,72.0,498.0,529.0,703.0,659.0,609.0,127.0
17.28,48.83,99.0,518.0,473.0,722.0,679.0,611.0,106.0
20.07,54.89,69.0,505.0,543.0,721.0,680.0,627.0,105.0
25.05,49.27,123.0,561.0,411.0,695.0,631.0,565.0,134.0
20.87,54.91,145.0,570.0,444.0,703.0,655.0,581.0,122.0
20.67,62.32,147.0,505.0,486.0,728.0,659.0,590.0,154.0
23.02,57.89,162.0,502.0,498.0,717.0,649.0,582.0,139.0
22.14,46.95,109.0,514.0,429.0,691.0,647.0,581.0,155.0
20.25,52.14,117.0,588.0,432.0,707.0,662.0,567.0,120.0
21.01,58.69,113.0,506.0,539.0,722.0,669.0,619.0,99.0
21.13,45.14,99.0,589.0,457.0,724.0,681.0,616.0,136.0
20.78,55.52,81.0,514.0,531.0,733.0,680.0,636.0,105.0
24.02,49.07,106.0,553.0,444.0,734.0,683.0,620.0,110.0
23.97,49.69,103.0,528.0,487.0,666.0,600.0,533.0,116.0
17.64,49.5,97.0,510.0,546.0,719.0,681.0,615.0,108.0
20.68,49.87,121.0,587.0,444.0,697.0,617.0,549.0,142.0
19.65,59.48,149.0,536.0,522.0,714.0,660.0,593.0,139.0
17.97,51.95,95.0,527.0,532.0,742.0,703.0,642.0,104.0
21.51,57.34,109.0,531.0,490.0,705.0,658.0,600.0,127.0
16.72,54.83,109.0,507.0,474.0,628.0,547.0,514.0,128.0
21.62,53.45,98.0,533.0,449.0,695.0,650.0,589.0,110.0
21.22,54.43,55.0,522.0,537.0,743.0,689.0,645.0,104.0
21.76,44.3,112.0,502.0,519.0,705.0,665.0,604.0,121.0
21.89,42.55,107.0,504.0,406.0,697.0,657.0,594.0,120.0
17.58,55.15,130.0,585.0,495.0,735.0,683.0,609.0,95.0
20.17,59.02,110.0,531.0,471.0,678.0,630.0,554.0,117.0
23.13,52.58,110.0,547.0,470.0,691.0,618.0,559.0,116.0
18.66,52.07,111.0,599.0,480.0,748.0,707.0,637.0,104.0
20.47,48.67,115.0,513.0,481.0,687.0,629.0,559.0,140.0
17.29,49.44,109.0,510.0,527.0,728.0,688.0,624.0,110.0
20.18,53.41,98.0,603.0,460.0,727.0,686.0,604.0,102.0
20.32,56.28,72.0,498.0,537.0,710.0,668.0,620.0,119.0
16.57,50.2,104.0,510.0,552.0,729.0,690.0,632.0,108.0
22.35,48.18,102.0,586.0,492.0,738.0,698.0,636.0,101.0
15.54,58.66,73.0,509.0,581.0,747.0,710.0,664.0,103.0
23.92,51.91,115.0,551.0,483.0,714.0,673.0,604.0,109.0
21.98,55.76,134.0,558.0,425.0,695.0,640.0,566.0,128.0
19.44,53.31,91.0,581.0,451.0,727.0,678.0,600.0,106.0
19.92,50.71,112.0,597.0,478.0,735.0,691.0,617.0,125.0
19.62,59.44,132.0,547.0,485.0,697.0,626.0,560.0,122.0
20.39,58.35,42.0,518.0,531.0,702.0,645.0,593.0,159.0
16.59,50.57,74.0,513.0,573.0,738.0,703.0,649.0,100.0
19.05,52.9,113.0,560.0,479.0,727.0,685.0,613.0,104.0
