Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.558,0.05,239.36,6.6,0.0,0.0,0.0
0.278,0.084,248.2,1.2,0.0,0.0,0.0
0.374,0.122,241.18,1.6,0.0,0.0,1.0
0.31,0.224,241.51,1.6,0.0,0.0,1.0
0.28,0.076,241.11,1.2,0.0,0.0,0.0
1.464,0.082,241.38,6.0,1.0,0.0,17.0
0.126,0.0,241.3,0.4,0.0,0.0,0.0
4.722,0.0,229.88,20.6,0.0,60.0,16.0
0.28,0.0,243.07,1.2,0.0,0.0,1.0
2.522,0.17,239.34,10.4,38.0,1.0,0.0
2.696,0.0,240.27,11.6,0.0,0.0,0.0
0.324,0.212,238.7,1.6,0.0,0.0,1.0
2.44,0.152,235.41,10.4,1.0,0.0,18.0
2.344,0.068,242.01,10.0,0.0,0.0,18.0
2.19,0.0,235.93,9.2,0.0,0.0,17.0
0.47,0.064,241.16,2.0,0.0,0.0,0.0
2.392,0.386,241.8,10.0,0.0,0.0,18.0
2.562,0.35,236.45,11.2,0.0,1.0,18.0
0.11,0.0,242.03,0.4,0.0,0.0,0.0
0.37,0.0,239.18,1.6,0.0,0.0,1.0
5.73,0.388,237.28,24.2,44.0,1.0,17.0
0.474,0.238,242.34,2.2,0.0,1.0,0.0
3.578,0.09,238.12,15.0,39.0,0.0,18.0
0.244,0.258,242.18,1.4,0.0,0.0,0.0
0.082,0.0,242.55,0.2,0.0,0.0,0.0
0.188,0.0,241.18,0.8,0.0,0.0,0.0
1.674,0.166,235.96,7.2,0.0,0.0,17.0
1.728,0.058,242.51,7.0,0.0,0.0,18.0
0.322,0.05,237.33,1.4,0.0,1.0,0.0
1.004,0.202,235.87,4.2,0.0,0.0,11.0
1.324,0.056,238.54,5.6,0.0,0.0,17.0
0.206,0.0,242.83,0.8,0.0,0.0,0.0
1.28,0.084,240.97,5.2,0.0,1.0,18.0
0.25,0.052,243.95,1.0,0.0,0.0,0.0
2.196,0.104,237.79,9.4,0.0,0.0,18.0
0.476,0.132,240.88,2.2,0.0,2.0,0.0
0.214,0.0,247.27,0.8,0.0,0.0,0.0
3.688,0.052,238.72,15.4,38.0,0.0,0.0
0.26,0.0,245.57,1.0,0.0,0.0,0.0
0.318,0.062,241.91,1.4,0.0,2.0,1.0
1.46,0.086,238.06,6.0,0.0,0.0,18.0
2.688,0.15,245.13,12.0,0.0,19.0,0.0
0.376,0.202,241.94,1.8,0.0,0.0,0.0
0.514,0.246,242.6,2.4,0.0,1.0,0.0
1.26,0.0,237.82,5.2,0.0,0.0,18.0
0.264,0.052,235.53,1.2,0.0,0.0,0.0
1.29,0.104,239.57,5.4,0.0,0.0,18.0
0.208,0.0,235.02,1.2,0.0,0.0,0.0
0.33,0.068,243.0,1.4,0.0,0.0,0.0
1.614,0.076,239.42,6.6,0.0,1.0,17.0
0.242,0.096,240.4,1.0,0.0,1.0,0.0
1.446,0.048,239.72,6.0,0.0,0.0,17.0
1.692,0.32,240.7,7.0,1.0,1.0,19.0
0.112,0.0,233.03,0.6,0.0,0.0,0.0
0.158,0.0,234.51,0.8,0.0,0.0,0.0
1.32,0.076,233.74,5.6,0.0,0.0,17.0
0.37,0.23,241.96,1.8,0.0,2.0,1.0
1.404,0.084,242.31,5.8,0.0,0.0,19.0
1.41,0.078,246.39,5.6,0.0,0.0,18.0
2.104,0.056,238.03,8.8,0.0,0.0,17.0
1.794,0.162,236.5,7.8,0.0,1.0,17.0
1.552,0.052,239.07,6.4,0.0,0.0,18.0
0.372,0.118,246.36,1.6,0.0,0.0,1.0
0.202,0.0,242.61,1.0,0.0,0.0,0.0
0.306,0.058,240.28,1.2,0.0,0.0,1.0
1.612,0.058,246.23,6.4,0.0,1.0,20.0
0.4,0.226,247.09,1.8,0.0,0.0,0.0
0.348,0.086,243.94,1.4,0.0,1.0,0.0
1.744,0.0,241.28,7.2,0.0,0.0,18.0
2.398,0.076,237.65,10.0,0.0,0.0,0.0
0.81,0.196,247.85,3.2,0.0,1.0,0.0
1.364,0.0,238.95,5.6,0.0,1.0,17.0
3.258,0.502,237.5,14.6,19.0,2.0,29.0
1.502,0.07,245.44,6.0,0.0,0.0,19.0
0.26,0.078,241.54,1.2,0.0,0.0,0.0
1.39,0.048,240.39,5.8,0.0,0.0,18.0
0.412,0.0,245.49,1.6,0.0,0.0,0.0
0.382,0.192,241.54,1.6,0.0,0.0,1.0
1.266,0.252,241.94,5.2,0.0,1.0,11.0
0.414,0.36,242.44,2.2,0.0,1.0,0.0
0.148,0.048,242.82,0.6,0.0,0.0,1.0
0.258,0.0,246.92,1.0,0.0,0.0,1.0
1.656,0.254,241.72,6.8,0.0,0.0,19.0
0.296,0.09,240.6,1.2,0.0,0.0,0.0
2.596,0.0,242.12,10.6,38.0,0.0,0.0
1.122,0.196,234.85,4.8,0.0,0.0,0.0
0.388,0.202,241.5,1.8,0.0,0.0,0.0
1.49,0.0,241.21,6.2,0.0,0.0,18.0
0.504,0.394,242.52,2.6,0.0,1.0,0.0
1.704,0.05,239.54,7.0,0.0,0.0,18.0
0.584,0.214,239.9,2.8,0.0,2.0,0.0
0.322,0.098,240.59,1.4,0.0,1.0,1.0
0.154,0.0,242.06,0.6,0.0,0.0,1.0
0.158,0.0,241.56,0.6,0.0,0.0,1.0
0.36,0.232,241.91,1.8,0.0,0.0,1.0
1.916,0.164,238.0,8.0,0.0,0.0,18.0
2.206,0.332,235.66,9.4,1.0,1.0,0.0
0.342,0.066,242.28,1.4,0.0,0.0,0.0
0.568,0.228,241.09,2.4,0.0,1.0,0.0
1.698,0.06,236.6,7.2,0.0,0.0,18.0
0.328,0.176,241.06,2.0,0.0,0.0,3.0
0.452,0.284,240.46,2.2,0.0,1.0,0.0
1.528,0.206,239.61,6.4,0.0,0.0,19.0
1.324,0.052,239.01,5.4,0.0,0.0,17.0
1.548,0.08,238.7,6.6,0.0,1.0,17.0
0.544,0.0,245.91,2.4,2.0,0.0,1.0
1.262,0.054,239.37,5.2,0.0,0.0,1.0
1.482,0.122,241.12,6.2,0.0,0.0,19.0
1.724,0.416,241.14,7.2,0.0,1.0,12.0
0.358,0.056,242.48,1.4,0.0,0.0,1.0
0.304,0.124,239.94,1.4,0.0,0.0,1.0
0.424,0.07,240.65,1.8,0.0,0.0,0.0
0.21,0.114,234.73,1.0,0.0,0.0,0.0
0.31,0.086,244.35,1.2,0.0,0.0,0.0
3.428,0.11,239.03,14.2,0.0,0.0,18.0
3.758,0.118,243.2,15.4,39.0,0.0,1.0
0.362,0.068,242.16,1.6,0.0,0.0,1.0
1.306,0.124,241.58,5.4,0.0,0.0,18.0
0.486,0.26,241.69,2.4,0.0,1.0,0.0
1.632,0.334,244.09,6.8,0.0,1.0,19.0
1.652,0.234,240.58,7.0,2.0,1.0,18.0
1.534,0.3,238.19,6.6,0.0,1.0,18.0
1.572,0.054,238.41,6.6,0.0,0.0,17.0
1.434,0.164,236.11,6.0,0.0,2.0,18.0
0.28,0.048,241.55,1.2,0.0,0.0,0.0
0.404,0.24,245.23,1.8,0.0,0.0,0.0
0.444,0.0,229.69,2.2,0.0,0.0,0.0
1.278,0.0,240.36,5.2,0.0,0.0,18.0
1.526,0.33,240.33,6.4,2.0,2.0,18.0
2.71,0.504,236.05,11.6,0.0,1.0,18.0
0.446,0.088,244.73,2.0,0.0,0.0,0.0
0.494,0.306,240.57,2.4,0.0,1.0,0.0
1.45,0.116,243.28,6.0,0.0,0.0,19.0
0.37,0.05,241.01,1.6,0.0,1.0,0.0
0.908,0.074,244.09,3.8,0.0,0.0,0.0
0.22,0.0,241.32,1.0,0.0,0.0,0.0
1.34,0.048,243.9,5.4,0.0,0.0,19.0
1.446,0.098,246.27,5.8,0.0,1.0,19.0
1.578,0.046,240.46,6.6,0.0,1.0,18.0
0.652,0.052,239.41,2.6,0.0,0.0,0.0
0.314,0.228,238.65,1.6,0.0,1.0,1.0
0.232,0.13,241.05,1.0,0.0,0.0,1.0
1.674,0.294,239.54,7.0,0.0,0.0,18.0
1.44,0.316,238.47,6.2,0.0,2.0,18.0
1.35,0.108,240.73,5.6,0.0,0.0,19.0
1.236,0.102,236.13,5.2,0.0,0.0,0.0
0.398,0.226,237.37,1.8,0.0,1.0,0.0
0.926,0.0,245.98,3.8,0.0,0.0,1.0
0.33,0.06,242.78,1.4,0.0,0.0,0.0
3.394,0.252,237.77,14.2,0.0,0.0,17.0
1.82,0.318,237.57,7.8,0.0,0.0,18.0
0.114,0.0,243.51,0.6,0.0,0.0,0.0
0.1,0.0,242.44,0.4,0.0,0.0,0.0
0.082,0.0,241.78,0.2,0.0,0.0,1.0
1.418,0.14,242.22,5.8,0.0,0.0,0.0
0.246,0.058,242.79,1.0,0.0,2.0,1.0
0.238,0.0,240.82,1.0,0.0,0.0,0.0
0.144,0.0,239.25,0.6,0.0,0.0,1.0
0.504,0.156,239.86,2.2,0.0,0.0,0.0
0.358,0.102,239.39,1.6,0.0,0.0,1.0
0.276,0.25,241.12,1.4,0.0,1.0,0.0
3.62,0.238,233.12,15.6,2.0,0.0,17.0
0.57,0.0,240.54,2.4,0.0,0.0,0.0
0.944,0.35,244.7,4.2,0.0,0.0,0.0
0.234,0.0,243.94,1.0,0.0,0.0,1.0
1.384,0.084,241.96,5.6,0.0,2.0,18.0
0.952,0.272,243.33,4.0,0.0,0.0,13.0
0.266,0.112,241.24,1.2,0.0,0.0,1.0
0.254,0.0,238.62,1.0,0.0,0.0,0.0
0.34,0.118,242.93,1.4,0.0,0.0,1.0
0.7,0.068,245.47,2.8,0.0,0.0,0.0
3.334,0.278,236.65,14.2,0.0,0.0,29.0
0.712,0.096,241.78,3.0,0.0,2.0,1.0
1.204,0.106,233.96,5.0,0.0,0.0,17.0
1.736,0.0,239.8,8.0,0.0,0.0,0.0
0.528,0.086,239.86,2.6,0.0,0.0,0.0
1.458,0.152,241.92,6.0,0.0,1.0,19.0
0.202,0.0,242.25,1.0,0.0,0.0,1.0
1.312,0.094,241.12,5.4,0.0,0.0,18.0
0.804,0.0,239.48,3.4,0.0,0.0,0.0
0.404,0.206,242.3,1.8,0.0,0.0,1.0
3.638,0.05,234.89,15.4,0.0,0.0,17.0
1.028,0.116,241.96,4.2,0.0,0.0,0.0
1.144,0.096,244.96,4.6,0.0,0.0,0.0
1.752,0.094,241.24,7.2,0.0,0.0,18.0
0.24,0.246,240.36,1.4,0.0,0.0,1.0
1.406,0.05,240.53,5.8,0.0,0.0,18.0
0.242,0.0,245.4,1.0,0.0,0.0,0.0
1.87,0.21,240.78,7.8,0.0,0.0,12.0
1.032,0.278,244.15,4.4,0.0,0.0,9.0
0.356,0.114,251.68,1.4,0.0,1.0,1.0
0.214,0.0,232.31,0.8,0.0,0.0,1.0
1.626,0.228,243.71,6.8,0.0,2.0,18.0
2.844,0.32,238.7,12.2,35.0,0.0,0.0
1.424,0.0,241.71,5.8,0.0,0.0,19.0
0.678,0.0,244.0,2.8,0.0,0.0,0.0
1.412,0.104,239.78,5.8,0.0,0.0,18.0
1.314,0.0,239.88,5.4,0.0,0.0,18.0
2.514,0.152,242.28,10.4,0.0,0.0,19.0
1.342,0.092,236.71,5.6,0.0,2.0,0.0
0.376,0.21,243.29,1.8,0.0,0.0,1.0
0.252,0.0,244.03,1.0,0.0,0.0,1.0
0.35,0.176,245.17,1.6,0.0,0.0,0.0
2.952,0.0,239.01,12.4,0.0,0.0,18.0
0.236,0.0,243.84,1.0,0.0,0.0,0.0
0.218,0.0,240.94,1.0,0.0,0.0,0.0
2.708,0.542,240.29,12.2,8.0,2.0,18.0
0.122,0.0,233.16,0.6,0.0,0.0,0.0
1.352,0.21,240.03,5.6,0.0,0.0,17.0
0.152,0.0,240.03,0.6,0.0,0.0,0.0
0.384,0.194,236.08,1.8,0.0,0.0,0.0
0.166,0.0,239.05,0.8,0.0,0.0,0.0
0.336,0.22,244.16,1.6,0.0,0.0,1.0
1.69,0.208,239.85,7.0,1.0,0.0,18.0
0.668,0.136,241.1,2.8,0.0,0.0,0.0
2.192,0.068,237.91,9.2,0.0,0.0,18.0
1.282,0.0,240.93,5.2,0.0,0.0,18.0
0.254,0.096,238.05,1.2,0.0,2.0,0.0
0.388,0.0,245.53,1.8,0.0,0.0,0.0
0.304,0.226,241.23,1.4,0.0,0.0,0.0
2.638,0.064,235.24,11.2,0.0,0.0,17.0
1.354,0.0,242.76,5.6,0.0,0.0,19.0
0.354,0.162,230.47,1.6,0.0,1.0,1.0
0.306,0.07,241.74,1.2,0.0,1.0,0.0
1.504,0.276,237.54,6.4,0.0,2.0,18.0
1.494,0.0,236.79,6.4,0.0,0.0,17.0
0.236,0.098,242.57,1.0,0.0,1.0,0.0
0.368,0.082,247.46,1.6,0.0,1.0,0.0
0.132,0.0,243.86,0.6,0.0,0.0,0.0
0.252,0.118,241.32,1.2,0.0,0.0,1.0
0.23,0.122,238.38,1.0,0.0,0.0,1.0
1.124,0.0,235.16,4.8,0.0,0.0,16.0
1.742,0.152,244.08,7.0,0.0,0.0,19.0
0.126,0.0,242.85,0.6,0.0,0.0,0.0
0.218,0.0,246.4,0.8,0.0,0.0,0.0
1.63,0.066,237.59,6.8,0.0,0.0,17.0
2.216,0.112,238.69,9.4,0.0,0.0,5.0
2.176,0.19,238.8,9.2,0.0,0.0,28.0
0.356,0.0,238.43,1.6,0.0,0.0,0.0
3.298,0.052,238.84,13.8,0.0,0.0,18.0
0.33,0.114,241.73,1.6,0.0,0.0,1.0
0.198,0.13,237.96,1.0,0.0,0.0,0.0
0.212,0.096,240.95,1.0,0.0,2.0,1.0
1.416,0.116,237.67,6.0,0.0,0.0,17.0
0.314,0.162,238.9,1.4,0.0,0.0,1.0
1.462,0.0,244.31,6.0,0.0,0.0,19.0
0.156,0.0,240.87,0.6,0.0,0.0,1.0
0.19,0.0,245.78,0.8,0.0,0.0,1.0
0.408,0.222,242.37,1.8,0.0,2.0,0.0
0.232,0.058,239.45,1.0,0.0,0.0,0.0
0.282,0.234,241.92,1.4,0.0,2.0,0.0
0.686,0.092,242.9,2.8,0.0,0.0,0.0
0.228,0.106,240.8,1.0,0.0,2.0,0.0
0.472,0.108,244.53,2.2,0.0,2.0,0.0
1.756,0.106,233.69,7.4,1.0,1.0,17.0
0.342,0.094,241.45,1.4,0.0,1.0,0.0
1.286,0.09,241.54,5.2,0.0,0.0,18.0
0.47,0.104,245.53,2.0,0.0,0.0,0.0
0.192,0.0,242.31,0.8,0.0,0.0,0.0
1.304,0.068,242.99,5.2,0.0,0.0,18.0
1.318,0.0,241.08,5.4,0.0,0.0,18.0
1.264,0.066,238.16,5.2,0.0,0.0,18.0
1.65,0.0,239.71,6.8,0.0,0.0,18.0
0.244,0.112,242.36,1.0,0.0,2.0,0.0
5.526,0.374,234.2,23.6,37.0,1.0,18.0
1.45,0.178,239.91,6.0,0.0,2.0,17.0
1.048,0.1,242.09,4.4,0.0,0.0,11.0
0.308,0.108,244.75,1.4,0.0,0.0,0.0
0.348,0.11,240.06,1.4,0.0,0.0,1.0
0.182,0.076,241.43,0.8,0.0,0.0,0.0
0.338,0.246,243.64,1.6,0.0,1.0,0.0
0.76,0.128,240.01,3.2,0.0,0.0,11.0
0.558,0.192,246.3,2.6,0.0,0.0,0.0
0.156,0.118,238.52,0.8,0.0,0.0,0.0
2.162,0.102,240.36,9.8,1.0,24.0,0.0
0.544,0.112,241.1,2.4,0.0,0.0,0.0
1.382,0.238,237.79,5.8,1.0,1.0,18.0
0.29,0.176,234.03,1.4,0.0,0.0,0.0
0.208,0.058,241.51,0.8,0.0,0.0,0.0
0.86,0.134,243.52,3.4,0.0,0.0,0.0
0.382,0.1,245.2,1.6,0.0,0.0,0.0
0.404,0.072,241.25,1.6,0.0,0.0,1.0
0.23,0.0,238.05,1.0,0.0,0.0,0.0
0.216,0.0,244.16,0.8,0.0,0.0,0.0
0.358,0.11,242.92,1.4,0.0,0.0,1.0
0.59,0.47,242.15,3.0,0.0,1.0,0.0
1.768,0.332,243.03,7.4,1.0,1.0,0.0
0.252,0.12,243.53,1.2,0.0,0.0,0.0
0.388,0.094,242.47,1.6,0.0,2.0,1.0
1.314,0.194,239.12,5.4,0.0,1.0,18.0
0.824,0.292,242.48,3.6,1.0,0.0,0.0
3.41,0.078,229.45,14.8,35.0,0.0,17.0
2.476,0.096,240.7,10.2,0.0,2.0,0.0
0.428,0.264,246.17,2.0,0.0,1.0,1.0
0.154,0.0,240.06,0.6,0.0,0.0,0.0
0.346,0.122,244.75,1.4,0.0,0.0,0.0
1.76,0.122,237.35,7.4,0.0,0.0,0.0
0.976,0.334,237.53,4.2,0.0,0.0,10.0
1.466,0.102,238.3,6.2,0.0,3.0,17.0
0.214,0.0,238.92,0.8,0.0,0.0,0.0
0.158,0.046,242.32,0.8,0.0,0.0,1.0
1.788,0.0,238.36,7.4,1.0,0.0,0.0
0.136,0.0,244.61,0.6,0.0,0.0,0.0
1.932,0.158,237.75,8.0,0.0,1.0,18.0
0.512,0.156,243.09,2.4,0.0,1.0,0.0
0.448,0.202,244.84,2.0,0.0,1.0,0.0
0.23,0.0,237.39,1.0,0.0,0.0,0.0
0.49,0.114,241.15,2.0,0.0,0.0,0.0
0.474,0.228,242.53,2.2,0.0,0.0,1.0
1.534,0.048,237.68,6.4,0.0,1.0,18.0
1.536,0.1,240.97,6.4,0.0,1.0,18.0
0.342,0.266,242.77,1.8,0.0,1.0,1.0
1.324,0.0,239.07,5.4,0.0,0.0,17.0
0.37,0.272,240.25,1.8,0.0,1.0,1.0
1.506,0.22,241.18,6.2,1.0,0.0,18.0
0.388,0.128,240.67,1.6,1.0,0.0,1.0
0.214,0.0,239.54,0.8,0.0,0.0,0.0
0.338,0.228,233.07,1.8,0.0,1.0,0.0
2.67,0.244,240.83,12.2,31.0,0.0,1.0
0.482,0.222,245.44,2.2,0.0,1.0,0.0
0.17,0.0,240.89,0.8,0.0,0.0,0.0
1.384,0.228,243.87,5.6,0.0,2.0,18.0
0.324,0.11,242.04,1.4,0.0,0.0,0.0
0.316,0.114,239.84,1.4,0.0,0.0,0.0
0.982,0.39,244.31,4.4,0.0,0.0,11.0
0.518,0.24,241.4,2.4,0.0,1.0,1.0
1.376,0.18,232.01,6.0,0.0,1.0,17.0
3.5,0.138,239.69,14.6,2.0,3.0,18.0
0.224,0.098,233.01,1.0,0.0,1.0,0.0
3.048,0.186,237.5,13.4,0.0,0.0,1.0
0.326,0.088,243.89,1.4,0.0,0.0,1.0
1.98,0.196,238.83,8.2,0.0,0.0,29.0
1.34,0.236,240.48,5.6,1.0,1.0,0.0
0.334,0.24,239.44,1.6,0.0,2.0,1.0
0.138,0.0,241.91,0.6,0.0,0.0,0.0
0.224,0.0,243.39,1.0,0.0,0.0,0.0
1.398,0.186,242.24,5.8,0.0,1.0,19.0
0.776,0.132,239.51,3.2,0.0,0.0,0.0
0.248,0.138,240.03,1.2,0.0,0.0,1.0
0.38,0.11,247.03,1.6,0.0,0.0,0.0
1.294,0.098,237.72,5.4,0.0,0.0,18.0
1.356,0.08,241.55,5.6,0.0,1.0,18.0
2.252,0.202,241.1,9.4,1.0,0.0,27.0
1.844,0.09,239.67,7.6,0.0,0.0,18.0
1.628,0.06,239.88,6.8,0.0,0.0,18.0
0.24,0.0,243.09,1.0,0.0,0.0,1.0
0.13,0.0,238.75,0.6,0.0,0.0,0.0
2.566,0.092,241.76,10.6,0.0,0.0,19.0
0.238,0.084,240.04,1.0,0.0,1.0,1.0
0.284,0.072,238.48,1.2,0.0,0.0,0.0
1.39,0.228,239.99,5.8,0.0,1.0,19.0
0.082,0.0,241.12,0.2,0.0,0.0,0.0
1.316,0.0,237.67,5.4,0.0,0.0,17.0
1.924,0.094,241.32,8.0,0.0,0.0,19.0
1.4,0.09,243.01,5.6,0.0,0.0,19.0
0.342,0.12,243.76,1.4,0.0,0.0,1.0
1.028,0.194,236.45,4.4,0.0,0.0,12.0
2.33,0.0,235.77,9.8,0.0,0.0,0.0
0.512,0.158,240.55,2.2,0.0,0.0,0.0
1.414,0.094,239.54,5.8,0.0,0.0,18.0
0.348,0.094,245.46,1.4,0.0,2.0,0.0
0.21,0.116,240.38,1.0,0.0,2.0,0.0
0.646,0.0,234.11,3.0,0.0,0.0,8.0
2.308,0.428,240.91,9.6,0.0,1.0,30.0
1.038,0.236,240.86,4.4,0.0,1.0,1.0
0.372,0.08,243.82,1.6,0.0,0.0,0.0
0.368,0.0,239.39,1.4,0.0,0.0,0.0
0.406,0.0,241.24,1.6,0.0,2.0,0.0
0.28,0.208,236.86,1.4,0.0,0.0,0.0
0.4,0.104,243.0,1.8,0.0,0.0,0.0
0.228,0.134,234.0,1.2,0.0,0.0,0.0
0.242,0.158,244.12,1.2,0.0,0.0,1.0
2.884,0.0,242.23,11.8,0.0,0.0,18.0
0.158,0.124,241.19,0.8,0.0,0.0,1.0
0.354,0.086,247.33,1.4,0.0,2.0,0.0
0.526,0.072,243.74,2.2,0.0,0.0,1.0
0.348,0.218,242.6,1.6,0.0,0.0,0.0
0.22,0.098,236.61,1.0,0.0,1.0,0.0
0.278,0.2,240.42,1.4,0.0,0.0,0.0
2.154,0.214,238.46,9.0,2.0,0.0,17.0
0.226,0.0,244.41,1.0,0.0,0.0,0.0
1.398,0.068,240.8,5.8,0.0,0.0,18.0
0.21,0.05,238.33,0.8,0.0,0.0,0.0
0.36,0.126,241.65,1.8,0.0,1.0,1.0
0.184,0.0,239.93,0.8,0.0,0.0,1.0
0.304,0.11,243.17,1.2,0.0,0.0,0.0
0.338,0.122,244.15,1.4,0.0,2.0,0.0
2.846,0.076,235.71,12.0,0.0,0.0,17.0
0.252,0.132,242.01,1.2,0.0,0.0,0.0
2.192,0.168,242.07,9.0,0.0,0.0,28.0
0.258,0.118,242.22,1.2,0.0,2.0,1.0
0.166,0.0,240.62,0.8,0.0,0.0,1.0
0.79,0.212,236.98,3.6,0.0,1.0,1.0
1.392,0.096,240.48,5.8,0.0,0.0,18.0
0.286,0.244,239.63,1.6,0.0,1.0,0.0
1.858,0.0,235.94,7.8,0.0,0.0,0.0
0.384,0.336,241.06,2.0,0.0,2.0,0.0
0.394,0.148,241.22,1.6,1.0,1.0,0.0
0.172,0.0,241.3,0.8,0.0,0.0,1.0
1.546,0.252,239.93,6.4,0.0,0.0,18.0
0.296,0.096,243.08,1.2,0.0,0.0,0.0
1.224,0.11,235.74,5.2,0.0,0.0,18.0
0.288,0.11,240.46,1.2,0.0,0.0,0.0
1.978,0.246,240.23,8.2,0.0,0.0,18.0
0.322,0.0,238.6,1.4,0.0,0.0,0.0
1.408,0.124,238.84,5.8,0.0,1.0,1.0
1.396,0.126,240.42,5.8,0.0,0.0,18.0
1.996,0.214,239.62,8.4,0.0,0.0,28.0
0.268,0.276,241.52,1.6,0.0,1.0,1.0
0.26,0.128,243.47,1.2,0.0,2.0,1.0
0.398,0.112,243.07,2.0,0.0,1.0,0.0
0.446,0.176,238.1,2.0,0.0,0.0,0.0
0.314,0.0,242.46,1.4,0.0,0.0,1.0
0.422,0.334,242.55,2.2,0.0,1.0,1.0
0.252,0.108,241.63,1.0,0.0,0.0,1.0
1.468,0.094,241.51,6.0,0.0,0.0,18.0
0.466,0.046,235.59,2.0,0.0,0.0,0.0
0.398,0.046,245.61,1.8,0.0,0.0,0.0
2.566,0.056,238.51,10.6,37.0,0.0,0.0
2.872,0.19,243.57,11.8,39.0,1.0,0.0
0.502,0.226,239.08,2.4,0.0,0.0,0.0
0.314,0.122,240.93,1.4,0.0,0.0,0.0
1.606,0.086,242.34,6.6,0.0,0.0,18.0
1.426,0.0,239.2,6.0,0.0,0.0,18.0
0.494,0.386,241.11,2.6,0.0,0.0,0.0
1.118,0.228,240.39,4.6,0.0,0.0,0.0
3.81,0.73,237.95,16.6,0.0,27.0,18.0
0.144,0.0,238.79,0.6,0.0,0.0,1.0
0.438,0.226,241.04,2.0,0.0,1.0,0.0
0.672,0.19,240.92,2.8,0.0,0.0,1.0
0.312,0.054,245.33,1.2,0.0,0.0,0.0
3.152,0.42,238.89,13.4,0.0,20.0,29.0
0.754,0.11,244.77,3.0,0.0,0.0,0.0
0.516,0.36,239.91,2.6,1.0,1.0,0.0
1.288,0.0,234.65,5.4,0.0,0.0,17.0
0.362,0.092,243.79,1.4,0.0,0.0,1.0
1.284,0.0,241.38,5.2,0.0,2.0,0.0
